timestamp,open,high,low,close,volume,RSI,MACD,MACD_signal,macd_histogram,macd_divergence,macd_slope,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,bollinger_mavg,bollinger_hband,bollinger_lband,bollinger_width,timeframe
2022-04-30,38596.11,38795.38,37578.2,37630.8,35321.18989,37.434405737197515,-1046.5055137644958,-892.0136097750104,-154.49190398948542,154.49190398948542,-98.94946877604525,39187.755,42389.1,40788.4275,42872.42,39889.057,41862.67402755125,37915.43997244875,3947.234055102497,1d
2022-05-01,37630.8,38675.0,37386.38,38468.35,38812.24104,41.680632015627715,-1045.2909321643674,-922.669074252882,-122.62185791148545,122.62185791148545,1.2145816001284402,39091.845,41446.759999999995,40269.3025,42788.11,39835.952000000005,41900.37576638623,37771.52823361378,4128.8475327724445,1d
2022-05-02,38468.35,39167.34,38052.0,38525.16,53200.92628,41.968326400118265,-1027.8953376666686,-943.7143269356393,-84.18101073102935,84.18101073102935,17.395594497698767,39091.845,40678.5,39885.1725,42788.11,39758.463,41896.22804493836,37620.697955061645,4275.530089876716,1d
2022-05-03,38525.16,38651.51,37517.8,37728.95,40316.45358,39.06002996986574,-1066.0677312919288,-968.1850078068973,-97.88272348503153,97.88272348503153,-38.172393625260156,39091.845,40678.5,39885.1725,42788.11,39587.521,41799.057438486234,37375.98456151377,4423.0728769724665,1d
2022-05-04,37728.95,40023.77,37670.0,39690.0,62574.61736,48.52205225207612,-927.3889202428618,-960.0257902940903,32.63687005122847,32.63687005122847,138.678811049067,39091.845,40398.34,39745.0925,42788.11,39574.902,41781.068781823255,37368.73521817675,4412.333563646505,1d
2022-05-05,39690.0,39845.51,35571.9,36552.97,88722.43355,38.282207141207635,-1058.4163028084877,-979.7038927969699,-78.71241001151782,78.71241001151782,-131.02738256562589,37972.265,39491.100000000006,38731.6825,41880.869999999995,39374.9555,41893.44056882519,36856.4704311748,5036.9701376503945,1d
2022-05-06,36552.97,36675.63,35258.0,36013.77,68437.80187,36.84299425258892,-1192.0244651854518,-1022.1680072746663,-169.8564579107856,169.8564579107856,-133.60816237696417,37815.315,39117.0,38466.1575,41723.92,39156.7085,42022.0617074925,36291.3552925075,5730.706414985005,1d
2022-05-07,36013.77,36146.3,34785.0,35472.39,34281.70682,35.40381419906076,-1326.3059090399329,-1082.9955876277197,-243.31032141221317,243.31032141221317,-134.28144385448104,37404.384999999995,38880.5,38142.4425,41487.42,38946.422000000006,42216.56479914206,35676.27920085795,6540.285598284114,1d
2022-05-08,35472.4,35514.22,33713.95,34038.4,72445.64344,31.8543885417255,-1530.7899358884315,-1172.5544572798622,-358.23547860856934,358.23547860856934,-204.48402684849862,36868.86,38344.975,37606.917499999996,40951.895,38608.285500000005,42398.567335654945,34818.003664345066,7580.563671309879,1d
2022-05-09,34038.39,34243.15,30033.33,30076.31,191876.926428,24.53523120194727,-1989.617479021712,-1335.9670616282322,-653.6504173934798,653.6504173934798,-458.8275431332804,35028.55,36504.665,35766.6075,39111.585,38037.441999999995,43132.26143929527,32942.62256070472,10189.638878590544,1d
2022-05-10,30074.23,32658.99,29730.4,31017.1,165532.00311,28.723105331933425,-2251.3752694649156,-1519.0487031955688,-732.3265662693468,732.3265662693468,-261.7577904432037,34877.085,36353.2,35615.1425,38960.119999999995,37520.3875,43224.71661030142,31816.058389698577,11408.65822060284,1d
2022-05-11,31017.11,32162.59,27785.0,29103.94,207063.739278,25.61058526164142,-2583.4162133225254,-1731.9222052209602,-851.4940081015652,851.4940081015652,-332.0409438576098,33904.384999999995,35380.5,34642.4425,37987.42,36951.584,43559.20577698856,30343.962223011447,13215.24355397711,1d
2022-05-12,29103.94,30243.0,26700.0,29029.75,204507.263138,25.49520856483781,-2820.039901948039,-1949.545744566376,-870.4941573816632,870.4941573816632,-236.62368862551375,33361.884999999995,34838.0,34099.9425,37444.92,36417.6125,43735.425488957335,29099.799511042675,14635.62597791466,1d
2022-05-13,29029.74,31083.37,28751.67,29287.05,97872.36957,26.7280729585938,-2952.7662687976845,-2150.1898494126376,-802.5764193850468,802.5764193850468,-132.72636684964527,33272.755000000005,34838.0,34055.3775,37444.92,35909.885,43711.12351177349,28108.646488226517,15602.477023546973,1d
2022-05-14,29287.05,30343.27,28630.0,30086.74,51095.87863,30.57331849050078,-2959.311470531189,-2312.014173636348,-647.2972968948411,647.2972968948411,-6.545201733504655,31687.815,34838.0,33262.9075,37444.92,35441.715500000006,43457.807328369796,27425.623671630216,16032.18365673958,1d
2022-05-15,30086.74,31460.0,29480.0,31328.89,46275.66912,36.176137669406586,-2831.626241455946,-2415.9365872002677,-415.6896542556783,415.6896542556783,127.68522907524311,31423.15,34838.0,33130.575,37444.92,34986.856,42850.97886061288,27122.733139387117,15728.245721225761,1d
2022-05-16,31328.89,31328.9,29087.04,29874.01,73082.19658,32.83387796760154,-2815.3775150698566,-2495.8247727741855,-319.5527422956711,319.5527422956711,16.248726386089402,31107.11,34838.0,32972.555,37444.92,34574.924,42602.3642952731,26547.483704726896,16054.880590546207,1d
2022-05-17,29874.01,30788.37,29450.38,30444.93,56724.13307,35.35774941270046,-2725.01948140475,-2541.6637145002983,-183.35576690445168,183.35576690445168,90.35803366510663,30471.575,33748.655,32110.114999999998,37444.92,34135.3845,42055.850649363776,26214.918350636224,15840.932298727552,1d
2022-05-18,30444.93,30709.99,28654.47,28715.32,59749.15799,31.496428635914754,-2761.146384015796,-2585.560248403398,-175.5861356123978,175.5861356123978,-36.12690261104581,29679.495000000003,33748.655,31714.075,37444.92,33584.047,41401.10061662837,25766.993383371628,15634.107233256742,1d
2022-05-19,28715.33,30545.18,28691.38,30319.23,67877.36415,38.23279514377084,-2630.0376452180026,-2594.4557277663193,-35.58191745168324,35.58191745168324,131.1087387977932,29431.295,33748.655,31589.975,37398.235,33170.203,40754.984521270264,25585.421478729735,15169.563042540529,1d
2022-05-20,30319.22,30777.33,28730.0,29201.01,60517.25325,35.60407617083649,-2586.5479194337677,-2592.874166099809,6.326246666041243,6.326246666041243,43.489725784234906,29080.0,33748.655,31414.3275,37200.11,32748.7135,40231.347436384305,25266.079563615698,14965.267872768607,1d
2022-05-21,29201.01,29656.18,28947.28,29445.06,20987.13124,36.628171969976854,-2503.530066817246,-2575.005346243296,71.47527942605029,71.47527942605029,83.01785261652185,30045.0,33748.655,31896.8275,37150.0,32297.549,39426.054450154,25169.043549846,14257.010900308,1d
2022-05-22,29445.07,30487.99,29255.11,30293.94,36158.98748,40.19104692190855,-2342.240409447404,-2528.452358884118,186.2119494367139,186.2119494367139,161.28965736984173,30045.0,33536.315,31790.6575,37072.055,31885.988,38457.46592946941,25314.5100705306,13142.955858938807,1d
2022-05-23,30293.93,30670.51,28866.35,29109.15,63901.49932,37.05933551108049,-2283.694832767931,-2479.5008536608807,195.80602089294962,195.80602089294962,58.545576679473015,30057.235,33536.315,31796.775,37072.055,31454.998,37550.524025378254,25359.47197462174,12191.052050756512,1d
2022-05-24,29109.14,29845.86,28669.0,29654.58,59442.96036,39.40035391731029,-2168.2906934006205,-2417.258821608829,248.96812820820833,248.96812820820833,115.40413936731056,29991.685,33361.884999999995,31676.784999999996,37072.055,30953.227000000003,35773.3504825722,26133.103517427808,9640.24696514439,1d
2022-05-25,29654.58,30223.74,29294.21,29542.15,59537.38659,39.077704841453425,-2062.133254370383,-2346.2337081611395,284.10045379075655,284.10045379075655,106.15743903023758,29721.42,33361.884999999995,31541.652499999997,36950.0,30602.686000000005,34709.85993633336,26495.512063666647,8214.347872666716,1d
2022-05-26,29542.14,29886.64,28019.56,29201.35,94581.65463,38.06027542928986,-1982.6477023738116,-2273.5165070036737,290.8688046298621,290.8688046298621,79.4855519965713,29398.445,33361.884999999995,31380.164999999997,36950.0,30262.065000000002,33569.86934528711,26954.2606547129,6615.608690574209,1d
2022-05-27,29201.35,29397.66,28282.9,28629.8,90998.5201,36.35092903187388,-1943.3721536314988,-2207.4876363292387,264.11548269773994,264.11548269773994,39.27554874231282,29398.445,33361.884999999995,31380.164999999997,36103.57,29919.9355,32281.443427689297,27558.427572310702,4723.015855378595,1d
